,Gender,Age,AgeGroup,Married,Dependents,noDependents,Referrals,noReferrals,PaperlessBilling,PaymentMethod,OnlineSecurity,OnlineBackup,TechSupport,UnlimitedData,AvgDownloadGB,ChurnLabel,ChurnScore,CustomerLTV,SatisScore,TotalExtraDataCharge,AvgRoamCharge,TotalRoamCharge,TenureMonths,AvgCharge,TotalCharge,TotalRevenue,MonthRoamCharge,AvgExtraDataCharge,AvgRevenue
41,0,31,30대,1,1,3,1,1,0,1,0,0,0,0,0,0,65,5230,3,0,26780,669300,37,30464.864864864863,1127200,1796500,18089,0,48554
42,0,46,40대,1,0,0,1,5,1,0,1,1,0,1,19,0,66,3807,3,0,7350,182270,37,71500.0,2645500,2827770,4926,0,76426
43,0,57,50대,0,1,1,0,0,1,1,1,1,1,1,21,0,73,3290,4,0,0,0,41,52148.78048780488,2138100,2138100,0,0,52148
44,0,27,20대,0,0,0,1,5,1,0,0,1,1,1,52,0,76,6322,3,0,36610,2632790,84,100023.80952380953,8402000,11034790,31342,0,131366
45,1,64,60대,0,0,0,0,0,0,1,0,1,0,1,12,0,57,4298,3,0,27120,380360,26,63661.53846153846,1655200,2035560,14629,0,78290
46,1,38,30대,0,0,0,0,0,1,0,0,0,1,1,2,0,36,3244,3,0,41130,1440410,47,115582.97872340426,5432400,6872810,30647,0,146230
47,0,54,50대,0,0,0,0,0,1,1,0,0,0,1,9,0,57,4427,5,0,48590,48590,13,52400.0,681200,729790,3737,0,56137
48,0,50,50대,0,0,0,0,0,1,0,0,0,1,0,17,0,60,4561,5,22600,2370,67240,41,108148.78048780488,4434100,4523940,1640,551,110340
49,0,25,20대,0,0,0,0,0,0,0,1,1,1,0,69,0,67,4761,3,45200,6220,397080,76,95784.2105263158,7279600,7721880,5224,594,101603
50,1,35,30대,1,1,3,1,1,1,1,0,0,1,1,53,0,43,4447,3,0,27570,1074400,51,117245.09803921568,5979500,7053900,21066,0,138311
51,1,72,70대,0,0,0,0,0,1,0,0,0,0,1,23,0,59,5742,3,0,49830,1995130,52,107205.76923076923,5574700,7569830,38367,0,145573
52,0,51,50대,0,0,0,0,0,1,1,0,1,0,1,15,1,93,2832,1,0,42600,1703590,40,122319.51219512196,5015100,6718690,42589,0,167967
53,1,78,70대,0,1,1,0,0,1,0,0,1,0,0,29,1,85,5980,1,135600,13110,144080,11,114758.33333333331,1377100,1656780,13098,12327,150616
54,1,30,30대,1,0,0,1,10,0,0,0,0,0,1,85,0,74,3442,3,0,48250,289280,18,58900.0,1060200,1349480,16071,0,74971
55,0,58,50대,0,0,0,0,0,1,2,1,0,0,1,15,0,48,5039,3,0,2940,89500,42,74842.85714285714,3143400,3232900,2130,0,76973
56,0,26,20대,0,0,0,0,0,1,0,0,0,0,0,0,0,39,3792,5,0,23390,630310,39,22728.20512820513,886400,1516710,16161,0,38890
57,0,66,60대,1,0,0,1,3,1,0,0,1,0,1,28,0,57,5291,5,0,44640,3123660,82,124512.19512195124,10210000,13333660,38093,0,162605
58,1,20,20대,0,0,0,1,10,1,0,0,1,1,1,73,0,65,6026,5,0,9040,515960,69,129188.40579710146,8914000,9429960,7477,0,136666
59,0,61,60대,1,0,0,1,10,0,1,0,0,0,1,18,0,30,5232,5,0,20790,1204020,70,59498.57142857143,4164900,5368920,17200,0,76698
60,0,24,20대,0,0,0,0,0,1,0,0,1,0,1,48,0,39,3360,5,0,29040,464880,28,81510.71428571429,2282300,2747180,16602,0,98113
61,1,55,50대,1,0,0,1,3,1,0,1,1,1,1,27,0,37,4216,3,0,43510,3003430,81,135275.3086419753,10957300,13960730,37079,0,172354
62,0,59,50대,0,0,0,0,0,1,0,0,0,0,1,25,1,93,4214,1,0,45990,45990,1,113850.0,227700,273690,45990,0,273690
63,0,71,70대,1,1,1,1,9,1,2,0,1,0,1,23,0,62,2844,5,0,36050,1152040,44,109140.90909090907,4802200,5954240,26182,0,135323
64,0,49,40대,1,1,2,1,8,1,0,0,0,0,1,12,0,66,5560,3,0,55030,880720,28,107346.42857142857,3005700,3886420,31454,0,138800
65,0,61,60대,1,0,0,1,1,0,0,1,0,1,1,10,1,73,6452,2,0,44750,2189940,49,97826.0,4891300,7081240,44692,0,144515
66,1,40,40대,1,0,0,1,2,0,0,0,1,1,1,29,0,76,5224,5,0,0,0,83,69336.14457831325,5754900,5754900,0,0,69336
67,1,39,30대,0,0,0,0,0,0,0,0,1,0,1,12,0,33,4800,3,0,56160,1852970,45,125895.55555555556,5665300,7518270,41177,0,167072
68,1,21,20대,0,0,0,1,9,1,0,0,0,0,0,0,0,54,3831,4,0,56050,560480,22,23045.454545454544,507000,1067480,25476,0,48521
69,0,24,20대,0,0,0,1,1,1,0,0,1,1,0,59,1,89,4123,3,135600,41020,860500,21,132209.0909090909,2908600,3904700,40976,6457,185938
70,0,52,50대,1,1,1,1,1,0,0,1,1,0,1,23,1,80,3627,2,0,0,0,37,46728.94736842105,1775700,1775700,0,0,47991
71,1,71,70대,0,0,0,0,0,1,1,1,0,0,1,7,0,46,5700,3,0,38080,991240,38,102128.94736842104,3880900,4872140,26085,0,128214
72,0,45,40대,0,0,0,0,0,1,1,1,0,1,1,7,0,36,5052,3,0,0,0,62,42395.16129032258,2628500,2628500,0,0,42395
73,1,29,20대,0,0,0,0,0,1,0,0,0,0,1,26,1,67,2473,3,0,32320,226340,7,83937.5,671500,897840,32334,0,128262
74,1,62,60대,1,0,0,1,1,0,2,1,1,1,1,28,0,40,5152,4,0,53340,3252820,73,103395.8904109589,7547900,10800720,44559,0,147955
75,0,42,40대,0,0,0,0,0,1,0,0,0,1,1,12,1,99,3025,2,0,51870,778340,15,117175.0,1874800,2653140,51889,0,176876
76,1,51,50대,0,1,2,0,0,0,1,1,0,1,1,19,0,45,3287,4,0,0,0,38,53234.21052631579,2022900,2022900,0,0,53234
77,0,39,30대,1,0,0,1,9,1,0,0,0,0,1,23,0,20,5943,3,0,37520,2702730,84,110673.80952380953,9296600,11999330,32175,0,142849
78,0,64,60대,1,0,0,1,1,1,0,0,0,0,0,0,0,59,3093,3,0,30960,1362330,56,23903.571428571428,1338600,2700930,24327,0,48230
79,0,55,50대,0,0,0,0,0,0,1,0,1,0,0,8,0,49,4889,3,45200,55140,3638040,78,105594.8717948718,8236400,11919640,46641,579,152815
80,1,40,40대,0,0,0,0,0,1,0,1,1,1,1,16,1,94,3529,2,0,41580,83170,2,98600.0,295800,378970,41585,0,189485
81,1,76,70대,0,0,0,0,0,0,0,0,0,1,1,17,0,71,3253,5,0,8700,383860,56,87541.07142857143,4902300,5286160,6854,0,94395
82,1,57,50대,0,0,0,0,0,1,0,0,1,0,1,6,1,97,5671,3,0,16270,195040,12,107461.53846153848,1397000,1592040,16253,0,132670
83,0,71,70대,1,0,0,1,1,1,0,0,1,1,1,17,0,63,4297,5,0,20790,1435440,81,129522.22222222222,10491300,11926740,17721,0,147243
84,1,24,20대,0,0,0,0,0,0,1,0,0,0,0,0,1,95,3398,1,0,29150,87350,3,23275.0,93100,180450,29116,0,60150
85,1,31,30대,0,0,0,1,10,0,0,1,1,0,1,53,0,29,5361,3,0,5310,10510,14,115328.57142857143,1614600,1625110,750,0,116079
86,1,77,70대,0,0,0,0,0,1,0,0,1,0,1,4,0,77,5990,4,0,3390,90630,39,103689.7435897436,4043900,4134530,2323,0,106013
87,0,57,50대,0,0,0,0,0,1,0,0,0,0,0,0,0,68,5712,5,0,15030,391880,38,23942.105263157893,909800,1301680,10312,0,34254
88,1,73,70대,1,0,0,1,9,1,0,0,0,1,1,21,0,77,3172,4,0,22830,888070,51,117292.1568627451,5981900,6869970,17413,0,134705
89,0,41,40대,0,0,0,0,0,1,0,0,0,0,1,8,1,82,5641,1,0,39440,985360,25,111950.0,2910700,3896060,39414,0,155842
90,1,43,40대,0,0,0,0,0,0,2,0,0,0,1,23,1,78,4739,1,0,44970,44970,1,78900.0,157800,202770,44970,0,202770
91,0,48,40대,1,0,0,1,1,1,0,1,0,1,1,21,1,87,5102,2,0,30740,677210,22,64891.30434782609,1492500,2169710,30782,0,98623
92,1,56,50대,0,0,0,0,0,1,0,1,1,1,1,5,0,69,4589,4,0,54690,3935340,84,134101.19047619047,11264500,15199840,46849,0,180950
93,1,51,50대,0,0,0,0,0,1,0,0,0,0,0,0,0,34,2511,5,0,11980,288600,36,23155.555555555555,833600,1122200,8016,0,31172
94,1,34,30대,1,0,0,1,8,1,0,0,0,0,1,16,0,64,5072,5,0,8810,168370,31,103977.41935483873,3223300,3391670,5431,0,109408
95,0,21,20대,0,0,0,1,2,0,1,0,0,0,0,0,0,68,5747,5,0,10400,738120,83,30075.90361445783,2496300,3234420,8893,0,38968
96,0,78,70대,1,0,0,1,7,1,0,1,0,1,1,20,0,59,5655,3,0,28480,937900,45,127615.55555555556,5742700,6680600,20842,0,148457
97,1,60,60대,0,0,0,0,0,0,1,0,0,0,0,0,0,74,5949,3,0,3050,9150,15,24693.33333333333,370400,379550,610,0,25303
98,0,54,50대,1,1,1,1,7,0,0,0,1,0,1,13,0,76,3760,3,0,1240,57860,59,102442.37288135591,6044100,6101960,980,0,103423
99,0,42,40대,1,1,3,1,2,0,1,1,1,1,1,20,0,43,5298,4,0,2030,123280,74,129535.13513513512,9585600,9708880,1665,0,131201
100,0,22,20대,0,0,0,0,0,1,0,1,1,1,1,48,0,59,4644,4,0,3280,231090,83,137684.3373493976,11427800,11658890,2784,0,140468
101,0,71,70대,1,0,0,1,8,1,0,0,0,0,1,11,0,36,5711,4,0,47460,331990,19,105542.1052631579,2005300,2337290,17473,0,123015
102,1,56,50대,1,1,2,1,6,0,1,1,0,0,1,28,0,57,4331,3,0,52770,1423570,39,87610.2564102564,3416800,4840370,36501,0,124112
103,0,33,30대,0,0,0,0,0,0,1,0,0,0,0,0,0,59,4978,3,0,2030,4070,14,23471.42857142857,328600,332670,290,0,23762
104,1,32,30대,0,1,3,0,0,0,0,1,0,1,1,75,0,69,2754,4,0,0,0,37,41329.72972972973,1529200,1529200,0,0,41329
105,0,80,80대,0,0,0,0,0,1,0,1,1,0,1,5,0,55,3033,4,0,43620,1308880,42,90914.28571428572,3818400,5127280,31163,0,122078
106,1,73,70대,1,0,0,1,1,1,1,1,1,1,1,19,1,100,5067,1,0,19100,1110230,58,123064.40677966102,7260800,8371030,19141,0,144328
107,0,26,20대,1,0,0,1,1,1,0,0,0,0,0,82,1,75,3573,3,113000,2260,22830,10,102018.18181818182,1122200,1258030,2283,11300,125803
108,1,59,50대,0,0,0,0,0,1,1,0,0,0,1,28,0,68,5841,5,0,10510,94240,21,86857.14285714286,1824000,1918240,4487,0,91344
109,1,78,70대,1,0,0,1,1,1,0,0,0,0,1,17,1,77,5721,3,0,32430,194700,6,106671.42857142857,746700,941400,32450,0,156900
110,1,47,40대,1,1,1,1,7,0,0,1,0,0,0,16,0,49,5629,3,45200,43960,3034620,81,101682.71604938273,8236300,11316120,37464,558,139705
111,1,68,60대,0,0,0,0,0,1,0,1,0,0,1,20,0,69,4861,3,0,11870,779360,78,121551.28205128205,9481000,10260360,9991,0,131543
112,1,30,30대,0,0,0,0,0,0,1,1,1,1,1,52,1,87,4838,1,0,11530,807610,70,135746.47887323942,9638000,10445610,11537,0,149223
113,0,62,60대,0,0,0,0,0,0,0,0,0,0,0,0,1,79,3779,3,0,6330,157410,25,30573.07692307692,794900,952310,6296,0,38092
114,1,52,50대,1,1,2,1,1,1,1,0,0,0,0,0,0,77,5596,5,0,27460,1264700,58,23001.72413793104,1334100,2598800,21805,0,44806
115,1,63,60대,1,0,0,1,7,1,1,1,1,1,1,26,0,67,4488,4,0,12880,695630,66,135733.33333333334,8958400,9654030,10539,0,146273
116,1,54,50대,0,0,0,0,0,0,0,1,0,1,1,7,1,84,2122,1,0,25310,379570,15,122600.0,1961600,2341170,25304,0,156078
117,1,48,40대,1,1,1,0,0,0,0,0,0,0,0,0,0,29,3713,3,0,9380,111870,24,22591.666666666668,542200,654070,4661,0,27252
118,1,51,50대,0,0,0,0,0,1,0,0,1,0,1,22,0,73,2875,3,0,0,0,34,59161.76470588235,2011500,2011500,0,0,59161
119,1,22,20대,0,0,0,1,9,0,0,0,1,1,1,85,0,42,5640,4,0,0,0,82,68296.34146341463,5600300,5600300,0,0,68296
120,0,52,50대,0,0,0,0,0,1,1,1,1,0,0,20,0,66,5393,4,146900,27910,838350,42,99766.66666666669,4190200,5175450,19960,3497,123225
121,0,22,20대,0,0,0,1,1,0,0,0,1,0,1,59,0,37,5876,5,0,31980,2273670,83,119922.89156626504,9953600,12227270,27393,0,147316
122,0,33,30대,1,0,0,1,2,0,1,0,0,0,0,0,0,74,4006,5,0,11070,332560,42,24014.285714285717,1008600,1341160,7918,0,31932
123,0,26,20대,1,0,0,1,5,1,0,0,1,0,1,19,1,73,4939,3,0,32540,130060,4,98160.0,490800,620860,32515,0,155215
124,0,58,50대,0,0,0,0,0,1,0,0,0,0,1,28,1,67,3273,1,0,15930,31980,2,97766.66666666669,293300,325280,15990,0,162640
125,0,22,20대,0,1,1,0,0,1,0,0,0,0,0,0,0,48,3044,5,0,8930,88820,22,23472.727272727272,516400,605220,4037,0,27510
126,0,66,60대,0,0,0,0,0,0,0,1,0,0,1,29,0,40,4033,3,0,41130,164530,16,90618.75,1449900,1614430,10283,0,100901
127,0,69,60대,0,0,0,0,0,1,1,1,0,0,1,19,0,67,4865,3,0,0,0,64,57606.25,3686800,3686800,0,0,57606
128,0,25,20대,0,0,0,0,0,0,0,0,0,0,1,85,1,82,2857,2,0,24860,124410,5,55750.0,334500,458910,24882,0,91782
129,0,30,30대,1,1,3,1,1,0,1,0,0,0,0,0,0,32,3899,4,0,3280,25990,20,23515.0,470300,496290,1299,0,24814
130,1,73,70대,0,0,0,0,0,1,0,0,0,0,1,22,0,44,3805,3,0,27010,54010,14,50942.857142857145,713200,767210,3857,0,54800
131,0,46,40대,0,0,0,0,0,0,0,0,1,0,1,26,0,43,5828,5,0,15480,46560,15,95286.66666666669,1429300,1475860,3104,0,98390
132,0,40,40대,0,0,0,0,0,0,0,0,0,1,1,18,0,39,3949,4,0,13450,254480,31,71161.29032258065,2206000,2460480,8209,0,79370
133,0,53,50대,0,0,0,0,0,0,0,1,1,1,1,13,0,32,4262,5,0,4180,297760,84,81951.19047619047,6883900,7181660,3544,0,85495
134,0,76,70대,1,0,0,1,2,0,0,1,0,1,1,7,0,48,5089,3,0,0,0,75,42732.0,3204900,3204900,0,0,42732
135,0,38,30대,1,0,0,1,1,1,0,1,1,1,1,29,0,77,5500,4,0,0,0,78,67729.48717948717,5282900,5282900,0,0,67729
136,0,23,20대,0,0,0,0,0,1,0,0,0,1,1,27,1,66,3389,3,0,50400,50400,1,99300.0,198600,249000,50400,0,249000
137,1,24,20대,0,0,0,0,0,1,0,0,0,0,1,48,0,49,5687,3,0,17290,1036660,72,93751.38888888888,6750100,7786760,14398,0,108149
138,1,43,40대,1,1,3,1,3,0,1,1,0,0,1,22,0,21,5269,3,0,0,0,60,53713.333333333336,3222800,3222800,0,0,53713
139,1,45,40대,0,0,0,0,0,1,1,0,0,0,1,4,1,86,3967,2,0,37630,37630,1,96700.0,193400,231030,37630,0,231030
140,0,49,40대,0,0,0,0,0,1,0,0,0,0,1,15,1,77,5264,1,0,55260,829420,15,112043.75,1792700,2622120,55294,0,174808
141,1,62,60대,1,0,0,1,4,1,0,1,1,1,1,13,0,21,4676,3,0,39100,1953210,62,129698.3870967742,8041300,9994510,31503,0,161201
142,0,25,20대,1,1,1,1,10,0,1,1,1,1,1,30,0,50,4193,3,0,38190,2745900,84,106129.76190476192,8914900,11660800,32689,0,138819
143,1,37,30대,0,0,0,0,0,0,1,1,1,0,0,21,0,49,3509,4,113000,48930,2249150,58,98718.96551724138,5725700,8087850,38778,1948,139445
144,1,35,30대,1,1,1,1,4,0,0,1,1,1,1,19,0,75,6342,4,0,33900,2440800,84,110569.04761904762,9287800,11728600,29057,0,139626
145,0,37,30대,1,1,3,1,2,0,1,0,0,0,0,0,0,43,2004,5,0,38760,38760,13,21823.07692307692,283700,322460,2981,0,24804
146,1,27,20대,0,0,0,0,0,1,0,0,0,0,1,51,0,57,5617,4,0,32880,32880,13,67300.0,874900,907780,2529,0,69829
147,1,69,60대,0,0,0,0,0,1,0,1,1,1,1,21,0,80,5857,4,0,2940,194590,79,111002.53164556962,8769200,8963790,2463,0,113465
148,1,44,40대,1,1,1,1,5,0,0,0,1,1,1,27,0,50,3246,4,0,10060,484880,60,95245.0,5714700,6199580,8081,0,103326
149,1,30,30대,0,0,0,0,0,1,0,1,1,1,1,73,0,37,5234,4,0,47350,3409780,84,129683.33333333331,10893400,14303180,40592,0,170275
150,0,64,60대,1,0,0,1,6,1,1,1,1,1,1,24,0,64,4628,4,0,46670,2429160,64,95226.5625,6094500,8523660,37955,0,133182
151,1,44,40대,1,1,3,1,1,0,1,0,1,0,1,28,0,51,5122,5,0,53000,3550800,79,60245.56962025316,4759400,8310200,44946,0,105192
152,1,58,50대,1,0,0,1,1,1,0,0,0,0,1,13,1,98,5201,1,0,19100,533130,28,96182.75862068964,2789300,3322430,19040,0,118658
153,1,29,20대,1,1,1,1,9,0,0,0,1,0,1,51,0,74,5442,3,0,37630,1203450,44,73477.27272727272,3233000,4436450,27351,0,100828
154,1,80,80대,1,0,0,1,2,1,0,1,0,0,1,25,1,99,4517,1,0,7910,214140,27,88885.71428571429,2488800,2702940,7931,0,100108
155,0,22,20대,0,0,0,0,0,0,0,0,1,0,1,73,0,61,5625,5,0,35600,106670,15,110873.33333333331,1663100,1769770,7111,0,117984
156,0,22,20대,0,0,0,0,0,1,0,0,0,0,1,27,1,73,3878,1,0,45650,91420,2,95700.0,287100,378520,45710,0,189260
157,1,50,50대,0,1,2,0,0,1,1,0,0,1,1,11,1,65,3585,1,0,40120,360920,9,86330.0,863300,1224220,40102,0,136024
158,0,53,50대,1,1,2,1,10,1,1,1,0,1,1,28,0,60,4022,4,0,50290,2513690,62,84848.3870967742,5260600,7774290,40543,0,125391
159,1,45,40대,1,1,2,1,1,0,0,0,0,0,0,0,0,23,5043,3,0,35030,2489500,83,23384.33734939759,1940900,4430400,29993,0,53378
160,0,76,70대,1,0,0,1,2,1,0,0,0,0,1,10,1,69,4105,2,0,53450,1711840,32,88078.78787878787,2906600,4618440,53495,0,144326
161,1,57,50대,1,1,3,1,10,0,0,1,0,0,1,76,0,72,3337,4,0,30850,493020,28,119328.57142857143,3341200,3834220,17607,0,136936
162,1,45,40대,1,1,3,1,8,1,0,0,0,1,1,22,0,59,6383,5,0,20110,1346850,79,125140.50632911392,9886100,11232950,17048,0,142189
163,0,43,40대,1,1,1,1,1,1,1,1,1,1,1,13,0,70,5879,3,0,17970,1296900,84,133538.09523809524,11217200,12514100,15439,0,148977
164,1,41,40대,0,0,0,0,0,0,0,0,0,0,0,0,1,83,2647,3,0,27800,83510,3,22025.0,88100,171610,27836,0,57203
165,0,22,20대,0,0,0,1,1,0,1,0,0,0,0,0,0,30,4031,5,0,54240,1248090,35,29548.571428571428,1034200,2282290,35659,0,65208
166,0,62,60대,1,1,2,1,1,0,0,1,1,1,1,18,0,77,6233,3,0,32090,2308140,84,81233.33333333333,6823600,9131740,27477,0,108711
167,0,21,20대,0,0,0,1,9,0,1,1,1,0,1,47,0,76,3332,3,0,0,0,19,69884.21052631579,1327800,1327800,0,0,69884
168,0,49,40대,1,1,3,1,10,1,0,0,0,0,1,57,0,62,4854,4,0,1810,14130,20,62820.0,1256400,1270530,706,0,63526
169,0,33,30대,1,1,2,1,9,0,0,0,0,1,0,23,0,30,4652,4,124300,0,0,78,59253.84615384616,4621800,4746100,0,1593,60847
170,0,30,30대,0,0,0,0,0,0,1,0,0,0,0,0,1,66,2604,3,0,38760,193570,5,25283.33333333333,151700,345270,38714,0,69054
171,0,38,30대,0,1,1,0,0,1,0,0,1,0,1,11,1,89,5340,1,0,50060,2454590,49,122844.0,6142200,8596790,50093,0,175444
172,0,56,50대,1,0,0,1,2,1,0,0,0,0,0,0,0,74,5151,3,0,43390,2730870,75,23133.33333333333,1735000,4465870,36411,0,59544
173,1,70,70대,1,1,1,1,1,1,2,0,0,1,1,14,0,75,3353,4,0,0,0,24,35154.166666666664,843700,843700,0,0,35154
174,0,54,50대,1,1,3,1,5,1,1,1,1,0,1,53,0,41,3519,3,0,40910,1104120,39,65100.0,2538900,3643020,28310,0,93410
175,1,57,50대,0,0,0,0,0,0,0,1,1,0,1,20,0,34,3463,4,0,50620,1772290,47,72163.82978723405,3391700,5163990,37708,0,109872
176,1,40,40대,1,1,2,1,7,1,0,0,1,1,1,12,0,45,6275,3,0,4860,264190,66,101768.18181818182,6716700,6980890,4002,0,105771
177,0,56,50대,0,0,0,0,0,1,0,0,0,0,1,2,1,71,5962,1,0,6330,6330,1,114400.0,228800,235130,6330,0,235130
178,0,38,30대,0,0,0,0,0,1,1,0,0,1,1,5,0,42,3099,4,0,15820,78870,17,72623.5294117647,1234600,1313470,4639,0,77262
179,0,61,60대,0,0,0,0,0,1,0,0,1,1,0,6,0,39,2051,4,67800,47230,897220,31,76948.3870967742,2385400,3350420,28942,2187,108078
